指标,地区,时间,数值
    上市公司资产负债率（%）,上海,2009,86.23000
    上市公司资产负债率（%）,上海,2010,86.13000
    上市公司资产负债率（%）,江苏,2009,66.88000
    上市公司资产负债率（%）,江苏,2010,65.97000
    上市公司资产负债率（%）,浙江,2009,67.12000
    上市公司资产负债率（%）,浙江,2010,64.34000
    上市公司资产负债率（%）,安徽,2009,55.50000
    上市公司资产负债率（%）,安徽,2010,54.50000
    上市公司资产负债率（%）,福建,2009,90.76000
    上市公司资产负债率（%）,福建,2010,89.84000
    上市公司资产负债率（%）,江西,2009,54.13000
    上市公司资产负债率（%）,江西,2010,51.82000
    上市公司资产负债率（%）,山东,2009,60.26000
    上市公司资产负债率（%）,山东,2010,60.26000
    上市公司资产负债率（%）,河南,2009,61.08000
    上市公司资产负债率（%）,河南,2010,60.72000
    上市公司资产负债率（%）,湖北,2009,66.23000
    上市公司资产负债率（%）,湖北,2010,66.25000
    上市公司资产负债率（%）,湖南,2009,66.69000
    上市公司资产负债率（%）,湖南,2010,62.30000
    上市公司资产负债率（%）,广东,2009,84.61000
    上市公司资产负债率（%）,广东,2010,82.69000
    上市公司资产负债率（%）,广西,2009,61.97000
    上市公司资产负债率（%）,广西,2010,64.36000
    上市公司资产负债率（%）,海南,2009,68.72000
    上市公司资产负债率（%）,海南,2010,64.56000
    上市公司资产负债率（%）,重庆,2009,64.79000
    上市公司资产负债率（%）,重庆,2010,60.32000
    上市公司资产负债率（%）,四川,2009,67.32000
    上市公司资产负债率（%）,四川,2010,65.52000
    上市公司资产负债率（%）,贵州,2009,52.57000
    上市公司资产负债率（%）,贵州,2010,51.84000
    上市公司资产负债率（%）,云南,2009,64.00000
    上市公司资产负债率（%）,云南,2010,65.83000
    上市公司资产负债率（%）,西藏,2009,62.57000
    上市公司资产负债率（%）,西藏,2010,60.34000
    上市公司资产负债率（%）,陕西,2009,44.33000
    上市公司资产负债率（%）,陕西,2010,46.72000
    上市公司资产负债率（%）,甘肃,2009,75.99000
    上市公司资产负债率（%）,甘肃,2010,77.74000
    上市公司资产负债率（%）,青海,2009,51.38000
    上市公司资产负债率（%）,青海,2010,56.28000
    上市公司资产负债率（%）,宁夏,2009,66.96000
    上市公司资产负债率（%）,宁夏,2010,67.94000
    上市公司资产负债率（%）,新疆,2009,66.03000
    上市公司资产负债率（%）,新疆,2010,59.47000
    上市公司平均净资产收益率（%）,北京,2009,14.64000
    上市公司平均净资产收益率（%）,北京,2010,16.12000
    上市公司平均净资产收益率（%）,天津,2009,-0.94000
    上市公司平均净资产收益率（%）,天津,2010,10.69000
    上市公司平均净资产收益率（%）,河北,2009,6.40000
    上市公司平均净资产收益率（%）,河北,2010,11.31000
    上市公司平均净资产收益率（%）,山西,2009,11.64000
    上市公司平均净资产收益率（%）,山西,2010,14.49000
    上市公司平均净资产收益率（%）,内蒙古,2009,8.65000
    上市公司平均净资产收益率（%）,内蒙古,2010,16.03000
    上市公司平均净资产收益率（%）,辽宁,2009,3.31000
    上市公司平均净资产收益率（%）,辽宁,2010,7.11000
    上市公司平均净资产收益率（%）,吉林,2009,12.03000
    上市公司平均净资产收益率（%）,吉林,2010,11.57000
    上市公司平均净资产收益率（%）,黑龙江,2009,5.23000
    上市公司平均净资产收益率（%）,黑龙江,2010,8.62000
    上市公司平均净资产收益率（%）,上海,2009,10.28000
    上市公司平均净资产收益率（%）,上海,2010,12.73000
    上市公司平均净资产收益率（%）,江苏,2009,10.52000
    上市公司平均净资产收益率（%）,江苏,2010,11.73000
    上市公司平均净资产收益率（%）,浙江,2009,12.29000
    上市公司平均净资产收益率（%）,浙江,2010,11.79000
    上市公司平均净资产收益率（%）,安徽,2009,8.14000
    上市公司平均净资产收益率（%）,安徽,2010,11.83000
    上市公司平均净资产收益率（%）,福建,2009,16.65000
    上市公司平均净资产收益率（%）,福建,2010,16.57000
    上市公司平均净资产收益率（%）,江西,2009,9.37000
    上市公司平均净资产收益率（%）,江西,2010,11.54000
    上市公司平均净资产收益率（%）,山东,2009,10.63000
    上市公司平均净资产收益率（%）,山东,2010,13.40000
    上市公司平均净资产收益率（%）,河南,2009,7.70000
    上市公司平均净资产收益率（%）,河南,2010,10.54000
    上市公司平均净资产收益率（%）,湖北,2009,7.78000
    上市公司平均净资产收益率（%）,湖北,2010,9.29000
    上市公司平均净资产收益率（%）,湖南,2009,9.71000
    上市公司平均净资产收益率（%）,湖南,2010,11.00000
    上市公司平均净资产收益率（%）,广东,2009,12.27000
    上市公司平均净资产收益率（%）,广东,2010,13.48000
    上市公司平均净资产收益率（%）,广西,2009,9.49000
    上市公司平均净资产收益率（%）,广西,2010,12.63000
    上市公司平均净资产收益率（%）,海南,2009,3.17000
    上市公司平均净资产收益率（%）,海南,2010,11.49000
    上市公司平均净资产收益率（%）,重庆,2009,9.53000
    上市公司平均净资产收益率（%）,重庆,2010,9.24000
    上市公司平均净资产收益率（%）,四川,2009,8.82000
    上市公司平均净资产收益率（%）,四川,2010,11.32000
    上市公司平均净资产收益率（%）,贵州,2009,18.08000
    上市公司平均净资产收益率（%）,贵州,2010,16.22000
    上市公司平均净资产收益率（%）,云南,2009,5.73000
    上市公司平均净资产收益率（%）,云南,2010,7.39000
    上市公司平均净资产收益率（%）,西藏,2009,8.83000
    上市公司平均净资产收益率（%）,西藏,2010,11.95000
    上市公司平均净资产收益率（%）,陕西,2009,2.37000
    上市公司平均净资产收益率（%）,陕西,2010,6.22000
    上市公司平均净资产收益率（%）,甘肃,2009,4.11000
    上市公司平均净资产收益率（%）,甘肃,2010,8.14000
    上市公司平均净资产收益率（%）,青海,2009,12.06000
