指标,地区,时间,数值
            交通运输、仓储和邮政业增加值（亿元）,    河北,2023,3420.90000
            交通运输、仓储和邮政业增加值（亿元）,    山西,2022,1198.50000
            交通运输、仓储和邮政业增加值（亿元）,    山西,2023,1335.90000
            交通运输、仓储和邮政业增加值（亿元）,    内蒙古,2022,1317.90000
            交通运输、仓储和邮政业增加值（亿元）,    内蒙古,2023,1512.50000
            交通运输、仓储和邮政业增加值（亿元）,    辽宁,2022,1367.60000
            交通运输、仓储和邮政业增加值（亿元）,    辽宁,2023,1566.20000
            交通运输、仓储和邮政业增加值（亿元）,    吉林,2022,592.10000
            交通运输、仓储和邮政业增加值（亿元）,    吉林,2023,679.20000
            交通运输、仓储和邮政业增加值（亿元）,    黑龙江,2022,553.10000
            交通运输、仓储和邮政业增加值（亿元）,    黑龙江,2023,648.00000
            交通运输、仓储和邮政业增加值（亿元）,    上海,2022,1914.50000
            交通运输、仓储和邮政业增加值（亿元）,    上海,2023,2331.50000
            交通运输、仓储和邮政业增加值（亿元）,    江苏,2022,3655.60000
            交通运输、仓储和邮政业增加值（亿元）,    江苏,2023,4224.50000
            交通运输、仓储和邮政业增加值（亿元）,    浙江,2022,2375.50000
            交通运输、仓储和邮政业增加值（亿元）,    浙江,2023,2808.50000
            交通运输、仓储和邮政业增加值（亿元）,    安徽,2022,2171.70000
            交通运输、仓储和邮政业增加值（亿元）,    安徽,2023,2469.20000
            交通运输、仓储和邮政业增加值（亿元）,    福建,2022,1960.00000
            交通运输、仓储和邮政业增加值（亿元）,    福建,2023,2238.40000
            交通运输、仓储和邮政业增加值（亿元）,    江西,2022,1341.70000
            交通运输、仓储和邮政业增加值（亿元）,    江西,2023,1495.10000
            交通运输、仓储和邮政业增加值（亿元）,    山东,2022,4911.00000
            交通运输、仓储和邮政业增加值（亿元）,    山东,2023,5190.20000
            交通运输、仓储和邮政业增加值（亿元）,    河南,2022,3721.10000
            交通运输、仓储和邮政业增加值（亿元）,    河南,2023,4246.80000
            交通运输、仓储和邮政业增加值（亿元）,    湖北,2022,2313.90000
            交通运输、仓储和邮政业增加值（亿元）,    湖北,2023,2950.80000
            交通运输、仓储和邮政业增加值（亿元）,    湖南,2022,1696.90000
            交通运输、仓储和邮政业增加值（亿元）,    湖南,2023,1984.30000
            交通运输、仓储和邮政业增加值（亿元）,    广东,2022,4040.90000
            交通运输、仓储和邮政业增加值（亿元）,    广东,2023,4847.70000
            交通运输、仓储和邮政业增加值（亿元）,    广西,2022,1098.30000
            交通运输、仓储和邮政业增加值（亿元）,    广西,2023,1260.10000
            交通运输、仓储和邮政业增加值（亿元）,    海南,2022,371.90000
            交通运输、仓储和邮政业增加值（亿元）,    海南,2023,502.20000
            交通运输、仓储和邮政业增加值（亿元）,    重庆,2022,1084.00000
            交通运输、仓储和邮政业增加值（亿元）,    重庆,2023,1191.10000
            交通运输、仓储和邮政业增加值（亿元）,    四川,2022,1587.50000
            交通运输、仓储和邮政业增加值（亿元）,    四川,2023,2004.60000
            交通运输、仓储和邮政业增加值（亿元）,    贵州,2022,838.20000
            交通运输、仓储和邮政业增加值（亿元）,    贵州,2023,927.30000
            交通运输、仓储和邮政业增加值（亿元）,    云南,2022,1335.40000
            交通运输、仓储和邮政业增加值（亿元）,    云南,2023,1686.20000
            交通运输、仓储和邮政业增加值（亿元）,    西藏,2022,42.50000
            交通运输、仓储和邮政业增加值（亿元）,    西藏,2023,53.30000
            交通运输、仓储和邮政业增加值（亿元）,    陕西,2022,1293.80000
            交通运输、仓储和邮政业增加值（亿元）,    陕西,2023,1416.90000
            交通运输、仓储和邮政业增加值（亿元）,    甘肃,2022,555.60000
            交通运输、仓储和邮政业增加值（亿元）,    甘肃,2023,691.40000
            交通运输、仓储和邮政业增加值（亿元）,    青海,2022,155.20000
            交通运输、仓储和邮政业增加值（亿元）,    青海,2023,208.30000
            交通运输、仓储和邮政业增加值（亿元）,    宁夏,2022,213.50000
            交通运输、仓储和邮政业增加值（亿元）,    宁夏,2023,251.70000
            交通运输、仓储和邮政业增加值（亿元）,    新疆,2022,845.30000
            交通运输、仓储和邮政业增加值（亿元）,    新疆,2023,1039.70000
            批发和零售业增加值（亿元）,    北京,2022,3110.30000
            批发和零售业增加值（亿元）,    北京,2023,3073.10000
            批发和零售业增加值（亿元）,    天津,2022,1401.70000
            批发和零售业增加值（亿元）,    天津,2023,1412.20000
            批发和零售业增加值（亿元）,    河北,2022,3429.10000
            批发和零售业增加值（亿元）,    河北,2023,3742.30000
            批发和零售业增加值（亿元）,    山西,2022,1666.70000
            批发和零售业增加值（亿元）,    山西,2023,1663.30000
            批发和零售业增加值（亿元）,    内蒙古,2022,1585.30000
            批发和零售业增加值（亿元）,    内蒙古,2023,1647.60000
            批发和零售业增加值（亿元）,    辽宁,2022,2229.10000
            批发和零售业增加值（亿元）,    辽宁,2023,2378.80000
            批发和零售业增加值（亿元）,    吉林,2022,785.50000
            批发和零售业增加值（亿元）,    吉林,2023,869.10000
            批发和零售业增加值（亿元）,    黑龙江,2022,1294.30000
            批发和零售业增加值（亿元）,    黑龙江,2023,1362.20000
            批发和零售业增加值（亿元）,    上海,2022,5068.50000
            批发和零售业增加值（亿元）,    上海,2023,5094.50000
            批发和零售业增加值（亿元）,    江苏,2022,13350.70000
            批发和零售业增加值（亿元）,    江苏,2023,14225.60000
            批发和零售业增加值（亿元）,    浙江,2022,9404.20000
            批发和零售业增加值（亿元）,    浙江,2023,10296.30000
            批发和零售业增加值（亿元）,    安徽,2022,4240.80000
            批发和零售业增加值（亿元）,    安徽,2023,4750.50000
