code,name,prov_code,city_code,county_code,prov_name,city_name,county_name,level,is_prov,is_city,is_county
130503,河北省邢台市桥西区,130000,130500,130503,河北省,河北省邢台市,河北省邢台市桥西区,县级,0,0,1
130521,河北省邢台市邢台县,130000,130500,130521,河北省,河北省邢台市,河北省邢台市邢台县,县级,0,0,1
130522,河北省邢台市临城县,130000,130500,130522,河北省,河北省邢台市,河北省邢台市临城县,县级,0,0,1
130523,河北省邢台市内丘县,130000,130500,130523,河北省,河北省邢台市,河北省邢台市内丘县,县级,0,0,1
130524,河北省邢台市柏乡县,130000,130500,130524,河北省,河北省邢台市,河北省邢台市柏乡县,县级,0,0,1
130525,河北省邢台市隆尧县,130000,130500,130525,河北省,河北省邢台市,河北省邢台市隆尧县,县级,0,0,1
130526,河北省邢台市任县,130000,130500,130526,河北省,河北省邢台市,河北省邢台市任县,县级,0,0,1
130527,河北省邢台市南和县,130000,130500,130527,河北省,河北省邢台市,河北省邢台市南和县,县级,0,0,1
130528,河北省邢台市宁晋县,130000,130500,130528,河北省,河北省邢台市,河北省邢台市宁晋县,县级,0,0,1
130529,河北省邢台市巨鹿县,130000,130500,130529,河北省,河北省邢台市,河北省邢台市巨鹿县,县级,0,0,1
130530,河北省邢台市新河县,130000,130500,130530,河北省,河北省邢台市,河北省邢台市新河县,县级,0,0,1
130531,河北省邢台市广宗县,130000,130500,130531,河北省,河北省邢台市,河北省邢台市广宗县,县级,0,0,1
130532,河北省邢台市平乡县,130000,130500,130532,河北省,河北省邢台市,河北省邢台市平乡县,县级,0,0,1
130533,河北省邢台市威县,130000,130500,130533,河北省,河北省邢台市,河北省邢台市威县,县级,0,0,1
130534,河北省邢台市清河县,130000,130500,130534,河北省,河北省邢台市,河北省邢台市清河县,县级,0,0,1
130535,河北省邢台市临西县,130000,130500,130535,河北省,河北省邢台市,河北省邢台市临西县,县级,0,0,1
130581,河北省邢台市南宫市,130000,130500,130581,河北省,河北省邢台市,河北省邢台市南宫市,县级,0,0,1
130582,河北省邢台市沙河市,130000,130500,130582,河北省,河北省邢台市,河北省邢台市沙河市,县级,0,0,1
130600,河北省保定市,130000,130600,130600,河北省,河北省保定市,河北省保定市,市级,0,1,0
130601,河北省保定市市辖区,130000,130600,130601,河北省,河北省保定市,河北省保定市市辖区,县级,0,0,1
130602,河北省保定市新市区,130000,130600,130602,河北省,河北省保定市,河北省保定市新市区,县级,0,0,1
130603,河北省保定市北市区,130000,130600,130603,河北省,河北省保定市,河北省保定市北市区,县级,0,0,1
130604,河北省保定市南市区,130000,130600,130604,河北省,河北省保定市,河北省保定市南市区,县级,0,0,1
130621,河北省保定市满城县,130000,130600,130621,河北省,河北省保定市,河北省保定市满城县,县级,0,0,1
